key,replace(prop.value,char(10),'~'),cal_id,id,time_created,last_modified,title,priority,privacy,event_start,event_end,event_stamp,event_start_tz,event_end_tz
TRANSP,OPAQUE,f01c98fb-5b30-4ae4-8616-b5cbdb9545ae,49541a79-4a1e-46a5-9ba7-9913fb2623d3,2016-01-19 17:20:49,2016-01-19 17:21:13,Dr Sean,,,2016-01-22 16:45:00,2016-01-22 17:45:00,1453224073000000,America/Chicago,America/Chicago
TRANSP,OPAQUE,f01c98fb-5b30-4ae4-8616-b5cbdb9545ae,c91e4ffa-ce11-4955-9e12-cb4eb3316573,2016-01-13 01:40:59,2016-01-25 14:00:03,Morning Celebrex,,,2016-01-12 14:00:00,2016-01-12 14:00:00,1453730403000000,America/Chicago,America/Chicago
X-MOZ-GENERATION,14,f01c98fb-5b30-4ae4-8616-b5cbdb9545ae,c91e4ffa-ce11-4955-9e12-cb4eb3316573,2016-01-13 01:40:59,2016-01-25 14:00:03,Morning Celebrex,,,2016-01-12 14:00:00,2016-01-12 14:00:00,1453730403000000,America/Chicago,America/Chicago
CATEGORIES,Pills,f01c98fb-5b30-4ae4-8616-b5cbdb9545ae,c91e4ffa-ce11-4955-9e12-cb4eb3316573,2016-01-13 01:40:59,2016-01-25 14:00:03,Morning Celebrex,,,2016-01-12 14:00:00,2016-01-12 14:00:00,1453730403000000,America/Chicago,America/Chicago
TRANSP,OPAQUE,f01c98fb-5b30-4ae4-8616-b5cbdb9545ae,8cb03136-aa3e-4628-8cb9-a633f7572368,2016-01-13 01:36:25,2016-01-27 02:41:10,Evening Celebrex,,,2016-01-13 02:00:00,2016-01-13 02:00:00,1453862470000000,America/Chicago,America/Chicago
X-MOZ-GENERATION,15,f01c98fb-5b30-4ae4-8616-b5cbdb9545ae,8cb03136-aa3e-4628-8cb9-a633f7572368,2016-01-13 01:36:25,2016-01-27 02:41:10,Evening Celebrex,,,2016-01-13 02:00:00,2016-01-13 02:00:00,1453862470000000,America/Chicago,America/Chicago
CATEGORIES,Pills,f01c98fb-5b30-4ae4-8616-b5cbdb9545ae,8cb03136-aa3e-4628-8cb9-a633f7572368,2016-01-13 01:36:25,2016-01-27 02:41:10,Evening Celebrex,,,2016-01-13 02:00:00,2016-01-13 02:00:00,1453862470000000,America/Chicago,America/Chicago
TRANSP,OPAQUE,f01c98fb-5b30-4ae4-8616-b5cbdb9545ae,0c82aaf0-1e0f-4bec-b937-030ea14d62db,2016-01-27 14:47:13,2016-01-27 14:47:23,Dr Sean,,,2016-02-19 16:00:00,2016-02-19 17:00:00,1453906043000000,America/Chicago,America/Chicago
TRANSP,OPAQUE,f01c98fb-5b30-4ae4-8616-b5cbdb9545ae,50a09b32-5f00-42a0-a3f4-6e6829e9a350,2016-01-13 01:42:18,2016-02-02 14:01:40,Aspirin,,,2016-01-12 14:00:00,2016-01-12 14:00:00,1454421700000000,America/Chicago,America/Chicago
X-MOZ-GENERATION,23,f01c98fb-5b30-4ae4-8616-b5cbdb9545ae,50a09b32-5f00-42a0-a3f4-6e6829e9a350,2016-01-13 01:42:18,2016-02-02 14:01:40,Aspirin,,,2016-01-12 14:00:00,2016-01-12 14:00:00,1454421700000000,America/Chicago,America/Chicago
SEQUENCE,1,f01c98fb-5b30-4ae4-8616-b5cbdb9545ae,50a09b32-5f00-42a0-a3f4-6e6829e9a350,2016-01-13 01:42:18,2016-02-02 14:01:40,Aspirin,,,2016-01-12 14:00:00,2016-01-12 14:00:00,1454421700000000,America/Chicago,America/Chicago
CATEGORIES,Pills,f01c98fb-5b30-4ae4-8616-b5cbdb9545ae,50a09b32-5f00-42a0-a3f4-6e6829e9a350,2016-01-13 01:42:18,2016-02-02 14:01:40,Aspirin,,,2016-01-12 14:00:00,2016-01-12 14:00:00,1454421700000000,America/Chicago,America/Chicago
